cpu_load,queue_level,queue_dropped,process_jitter,process_deadline_miss,process_exec_time,process_stack_left,sensor_deadline_miss,comm_deadline_miss,health_label
7.0,0.0,0.0,382.0,371.0,382.0,384.0,62.0,53.0,0
0.0,1.0,0.0,482.0,374.0,382.0,384.0,63.0,53.0,0
7.0,0.0,0.0,382.0,378.0,382.0,384.0,63.0,54.0,0
0.0,1.0,0.0,382.0,381.0,382.0,384.0,64.0,54.0,0
2.0,0.0,0.0,382.0,385.0,382.0,384.0,64.0,55.0,0
0.0,0.0,0.0,0.0,0.0,382.0,392.0,0.0,0.0,2
0.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,1.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,3.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,4.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,6.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,7.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,9.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,10.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,12.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,13.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,15.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,16.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,18.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,19.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,21.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,22.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,24.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,25.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,27.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,28.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,30.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,31.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,33.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,34.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,36.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,37.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,39.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,40.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,42.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,43.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,45.0,2
11.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,46.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,48.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,49.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,51.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,52.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,54.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,55.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,57.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,58.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,60.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,61.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,63.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,64.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,66.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,67.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,69.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,70.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,72.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,73.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,75.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,76.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,78.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,79.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,81.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,82.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,84.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,85.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,87.0,2
10.0,1.0,0.0,18.0,0.0,382.0,384.0,1.0,88.0,2
5.0,0.0,0.0,514.0,90.0,414.0,114.0,12.0,9.0,2
1.0,0.0,0.0,414.0,93.0,414.0,114.0,12.0,9.0,2
1.0,0.0,0.0,442.0,97.0,414.0,114.0,12.0,10.0,2
10.0,0.0,0.0,414.0,100.0,414.0,114.0,13.0,10.0,2
1.0,0.0,0.0,414.0,103.0,414.0,114.0,13.0,11.0,2
1.0,1.0,0.0,514.0,106.0,414.0,114.0,14.0,11.0,2
10.0,0.0,0.0,414.0,110.0,414.0,114.0,14.0,11.0,2
1.0,1.0,0.0,442.0,113.0,414.0,114.0,15.0,12.0,2
1.0,1.0,0.0,414.0,116.0,414.0,114.0,15.0,12.0,2
8.0,0.0,0.0,414.0,120.0,414.0,114.0,15.0,12.0,2
1.0,0.0,0.0,414.0,123.0,414.0,114.0,16.0,13.0,2
1.0,0.0,0.0,414.0,126.0,414.0,114.0,16.0,13.0,2
5.0,0.0,0.0,514.0,130.0,414.0,114.0,17.0,13.0,2
1.0,0.0,0.0,414.0,133.0,414.0,114.0,17.0,14.0,2
1.0,0.0,0.0,442.0,137.0,414.0,114.0,17.0,14.0,2
10.0,0.0,0.0,414.0,140.0,414.0,114.0,18.0,14.0,2
1.0,0.0,0.0,414.0,143.0,414.0,114.0,18.0,15.0,2
1.0,1.0,0.0,514.0,146.0,414.0,114.0,19.0,15.0,2
10.0,0.0,0.0,414.0,150.0,414.0,114.0,19.0,16.0,2
1.0,1.0,0.0,442.0,153.0,414.0,114.0,20.0,16.0,2
1.0,1.0,0.0,414.0,156.0,414.0,114.0,20.0,16.0,2
8.0,0.0,0.0,414.0,160.0,414.0,114.0,20.0,17.0,2
0.0,0.0,0.0,414.0,163.0,414.0,114.0,21.0,17.0,2
1.0,0.0,0.0,414.0,166.0,414.0,114.0,21.0,17.0,2
5.0,0.0,0.0,514.0,170.0,414.0,114.0,22.0,18.0,2
1.0,0.0,0.0,414.0,173.0,414.0,114.0,22.0,18.0,2
1.0,0.0,0.0,442.0,177.0,414.0,114.0,22.0,18.0,2
10.0,0.0,0.0,414.0,180.0,414.0,114.0,23.0,19.0,2
1.0,0.0,0.0,414.0,183.0,414.0,114.0,23.0,19.0,2
1.0,1.0,0.0,514.0,186.0,414.0,114.0,24.0,19.0,2
10.0,0.0,0.0,414.0,190.0,414.0,114.0,24.0,20.0,2
1.0,1.0,0.0,442.0,193.0,414.0,114.0,25.0,20.0,2
1.0,1.0,0.0,414.0,196.0,414.0,114.0,25.0,20.0,2
8.0,0.0,0.0,414.0,200.0,414.0,114.0,25.0,21.0,2
0.0,0.0,0.0,414.0,203.0,414.0,114.0,26.0,21.0,2
1.0,0.0,0.0,414.0,206.0,414.0,114.0,26.0,22.0,2
5.0,0.0,0.0,514.0,210.0,414.0,114.0,27.0,22.0,2
1.0,0.0,0.0,414.0,213.0,414.0,114.0,27.0,22.0,2
1.0,0.0,0.0,442.0,217.0,414.0,114.0,27.0,23.0,2
10.0,0.0,0.0,414.0,220.0,414.0,114.0,28.0,23.0,2
1.0,0.0,0.0,414.0,223.0,414.0,114.0,28.0,23.0,2
1.0,1.0,0.0,514.0,226.0,414.0,114.0,29.0,24.0,2
10.0,0.0,0.0,414.0,230.0,414.0,114.0,29.0,24.0,2
1.0,1.0,0.0,442.0,233.0,414.0,114.0,30.0,24.0,2
1.0,1.0,0.0,414.0,236.0,414.0,114.0,30.0,25.0,2
8.0,0.0,0.0,414.0,240.0,414.0,114.0,30.0,25.0,2
0.0,0.0,0.0,414.0,243.0,414.0,114.0,31.0,25.0,2
1.0,0.0,0.0,414.0,246.0,414.0,114.0,31.0,26.0,2
5.0,0.0,0.0,514.0,250.0,414.0,114.0,32.0,26.0,2
1.0,0.0,0.0,414.0,253.0,414.0,114.0,32.0,27.0,2
1.0,0.0,0.0,442.0,257.0,414.0,114.0,32.0,27.0,2
10.0,0.0,0.0,414.0,260.0,414.0,114.0,33.0,27.0,2
